Tag Length (Average tag length = 648.196366)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000511
3	0.000730
4	0.001418
5	0.001526
6	0.001401
7	0.001440
8	0.001536
9	0.001556
10	0.001739
11	0.001765
12	0.001855
13	0.001879
14	0.001944
15	0.001863
16	0.001836
17	0.001938
18	0.001928
19	0.001917
20	0.001841
21	0.001930
22	0.001986
23	0.001969
24	0.001955
25	0.001939
26	0.002045
27	0.001874
28	0.001881
29	0.001857
30	0.001900
31	0.002000
32	0.001952
33	0.001892
34	0.001838
35	0.001850
36	0.001820
37	0.001830
38	0.001786
39	0.001770
40	0.001625
41	0.001620
42	0.001560
43	0.001380
44	0.007396
45	0.001410
46	0.012933
47	0.000583
48	0.053825
49	0.000000
50	12.857972
