Tag Length (Average tag length = 537.573382)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000406
3	0.000580
4	0.001291
5	0.001392
6	0.001317
7	0.001287
8	0.001324
9	0.001448
10	0.001450
11	0.001563
12	0.001662
13	0.001786
14	0.001734
15	0.001710
16	0.001741
17	0.001771
18	0.001786
19	0.001786
20	0.001848
21	0.001701
22	0.001832
23	0.001875
24	0.001921
25	0.001806
26	0.001870
27	0.001871
28	0.001781
29	0.001851
30	0.001846
31	0.001791
32	0.001784
33	0.001775
34	0.001797
35	0.001769
36	0.001750
37	0.001725
38	0.001646
39	0.001585
40	0.001550
41	0.001512
42	0.001462
43	0.001375
44	0.006861
45	0.001335
46	0.012077
47	0.000566
48	0.050317
49	0.000000
50	10.652296
