Tag Length (Average tag length = 1441.138767)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000950
3	0.001426
4	0.002951
5	0.003363
6	0.003027
7	0.002998
8	0.003091
9	0.003193
10	0.003506
11	0.003836
12	0.003730
13	0.003792
14	0.004051
15	0.003795
16	0.003945
17	0.003841
18	0.003896
19	0.004049
20	0.003913
21	0.003952
22	0.004068
23	0.004078
24	0.004142
25	0.004103
26	0.004128
27	0.004133
28	0.004157
29	0.003876
30	0.003671
31	0.004024
32	0.003982
33	0.003977
34	0.003938
35	0.004041
36	0.003839
37	0.003790
38	0.003854
39	0.003716
40	0.003669
41	0.003313
42	0.003222
43	0.003032
44	0.016232
45	0.003079
46	0.026870
47	0.001167
48	0.111186
49	0.000000
50	28.601783
