Tag Length (Average tag length = 313.802418)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000215
3	0.000327
4	0.000661
5	0.000772
6	0.000737
7	0.000729
8	0.000725
9	0.000809
10	0.000818
11	0.000897
12	0.000918
13	0.000952
14	0.000939
15	0.000956
16	0.000925
17	0.000932
18	0.000908
19	0.000975
20	0.000960
21	0.000978
22	0.001015
23	0.001016
24	0.000990
25	0.001012
26	0.000969
27	0.001005
28	0.000985
29	0.000974
30	0.000959
31	0.000955
32	0.000953
33	0.000946
34	0.000966
35	0.000942
36	0.000936
37	0.000921
38	0.000867
39	0.000860
40	0.000833
41	0.000805
42	0.000735
43	0.000721
44	0.003806
45	0.000703
46	0.006460
47	0.000291
48	0.027181
49	0.000000
50	6.222637
