Tag Length (Average tag length = 533.775376)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000392
3	0.000642
4	0.001246
5	0.001458
6	0.001305
7	0.001334
8	0.001376
9	0.001452
10	0.001552
11	0.001553
12	0.001670
13	0.001741
14	0.001821
15	0.001669
16	0.001659
17	0.001730
18	0.001715
19	0.001693
20	0.001721
21	0.001678
22	0.001807
23	0.001866
24	0.001798
25	0.001822
26	0.001782
27	0.001800
28	0.001749
29	0.001747
30	0.001779
31	0.001786
32	0.001807
33	0.001738
34	0.001748
35	0.001758
36	0.001759
37	0.001705
38	0.001582
39	0.001551
40	0.001486
41	0.001426
42	0.001334
43	0.001364
44	0.006637
45	0.001399
46	0.011992
47	0.000522
48	0.049410
49	0.000000
50	10.578229
