Tag Length (Average tag length = 1114.649203)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000709
3	0.001159
4	0.002227
5	0.002735
6	0.002400
7	0.002473
8	0.002628
9	0.002740
10	0.002776
11	0.002976
12	0.003202
13	0.003220
14	0.003317
15	0.003044
16	0.003185
17	0.003213
18	0.003259
19	0.003324
20	0.003106
21	0.003157
22	0.003267
23	0.003300
24	0.003371
25	0.003287
26	0.003475
27	0.003253
28	0.003193
29	0.003405
30	0.003257
31	0.003361
32	0.003229
33	0.003254
34	0.003217
35	0.003262
36	0.003179
37	0.003144
38	0.002910
39	0.002968
40	0.002834
41	0.002781
42	0.002798
43	0.002510
44	0.012965
45	0.002540
46	0.022124
47	0.000941
48	0.090383
49	0.000000
50	22.112944
