Tag Length (Average tag length = 886.139846)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000595
3	0.000896
4	0.001951
5	0.002171
6	0.001909
7	0.001939
8	0.002031
9	0.002083
10	0.002269
11	0.002366
12	0.002508
13	0.002524
14	0.002535
15	0.002496
16	0.002579
17	0.002601
18	0.002682
19	0.002524
20	0.002541
21	0.002564
22	0.002653
23	0.002581
24	0.002681
25	0.002618
26	0.002578
27	0.002682
28	0.002553
29	0.002588
30	0.002589
31	0.002651
32	0.002556
33	0.002640
34	0.002503
35	0.002491
36	0.002379
37	0.002451
38	0.002337
39	0.002278
40	0.002328
41	0.002219
42	0.002095
43	0.001972
44	0.010155
45	0.001984
46	0.017548
47	0.000812
48	0.074316
49	0.000000
50	17.577848
