Tag Length (Average tag length = 577.857454)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000317
3	0.000509
4	0.001189
5	0.001355
6	0.001250
7	0.001222
8	0.001307
9	0.001315
10	0.001404
11	0.001505
12	0.001548
13	0.001643
14	0.001587
15	0.001597
16	0.001591
17	0.001582
18	0.001636
19	0.001562
20	0.001654
21	0.001592
22	0.001717
23	0.001707
24	0.001747
25	0.001719
26	0.001697
27	0.001693
28	0.001695
29	0.001612
30	0.001671
31	0.001650
32	0.001705
33	0.001601
34	0.001626
35	0.001585
36	0.001597
37	0.001565
38	0.001524
39	0.001502
40	0.001414
41	0.001409
42	0.001295
43	0.001339
44	0.006568
45	0.001313
46	0.011284
47	0.000481
48	0.045078
49	0.000000
50	11.466674
