Tag Length (Average tag length = 49.881047)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000022
3	0.000034
4	0.000078
5	0.000090
6	0.000080
7	0.000081
8	0.000088
9	0.000092
10	0.000098
11	0.000108
12	0.000102
13	0.000104
14	0.000106
15	0.000108
16	0.000104
17	0.000105
18	0.000104
19	0.000101
20	0.000105
21	0.000105
22	0.000109
23	0.000105
24	0.000109
25	0.000110
26	0.000102
27	0.000108
28	0.000107
29	0.000104
30	0.000098
31	0.000106
32	0.000103
33	0.000104
34	0.000097
35	0.000102
36	0.000100
37	0.000100
38	0.000095
39	0.000091
40	0.000098
41	0.000089
42	0.000084
43	0.000078
44	0.000451
45	0.000084
46	0.000696
47	0.000031
48	0.002787
49	0.000000
50	0.991936
