Tag Length (Average tag length = 304.436854)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000236
3	0.000356
4	0.000765
5	0.000869
6	0.000784
7	0.000724
8	0.000749
9	0.000821
10	0.000815
11	0.000965
12	0.000963
13	0.001027
14	0.001076
15	0.001020
16	0.001010
17	0.001054
18	0.001104
19	0.001023
20	0.001016
21	0.001093
22	0.001078
23	0.001073
24	0.001092
25	0.001073
26	0.001069
27	0.001092
28	0.000980
29	0.001065
30	0.001048
31	0.001095
32	0.001048
33	0.001126
34	0.001100
35	0.001048
36	0.001003
37	0.001008
38	0.000953
39	0.000986
40	0.000930
41	0.000853
42	0.000855
43	0.000802
44	0.003910
45	0.000795
46	0.007027
47	0.000306
48	0.030155
49	0.000000
50	6.030066
