Tag Length (Average tag length = 492.222707)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000381
3	0.000565
4	0.001126
5	0.001281
6	0.001182
7	0.001155
8	0.001243
9	0.001233
10	0.001339
11	0.001468
12	0.001489
13	0.001555
14	0.001560
15	0.001499
16	0.001497
17	0.001520
18	0.001565
19	0.001496
20	0.001552
21	0.001487
22	0.001578
23	0.001595
24	0.001592
25	0.001578
26	0.001521
27	0.001600
28	0.001499
29	0.001504
30	0.001467
31	0.001543
32	0.001548
33	0.001498
34	0.001545
35	0.001547
36	0.001458
37	0.001464
38	0.001395
39	0.001360
40	0.001302
41	0.001234
42	0.001184
43	0.001098
44	0.006110
45	0.001180
46	0.010523
47	0.000464
48	0.043337
49	0.000000
50	9.759145
