Tag Length (Average tag length = 498.669924)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000408
3	0.000610
4	0.001235
5	0.001415
6	0.001312
7	0.001200
8	0.001209
9	0.001339
10	0.001383
11	0.001472
12	0.001544
13	0.001592
14	0.001612
15	0.001605
16	0.001518
17	0.001607
18	0.001642
19	0.001613
20	0.001706
21	0.001603
22	0.001710
23	0.001656
24	0.001743
25	0.001698
26	0.001612
27	0.001691
28	0.001582
29	0.001605
30	0.001525
31	0.001675
32	0.001646
33	0.001613
34	0.001569
35	0.001491
36	0.001527
37	0.001425
38	0.001384
39	0.001484
40	0.001274
41	0.001349
42	0.001247
43	0.001246
44	0.006294
45	0.001259
46	0.011067
47	0.000493
48	0.046300
49	0.000000
50	9.883113
