Tag Length (Average tag length = 272.945591)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000200
3	0.000330
4	0.000638
5	0.000753
6	0.000674
7	0.000645
8	0.000707
9	0.000709
10	0.000765
11	0.000843
12	0.000871
13	0.000872
14	0.000899
15	0.000855
16	0.000886
17	0.000868
18	0.000917
19	0.000891
20	0.000889
21	0.000896
22	0.000888
23	0.000956
24	0.000948
25	0.000943
26	0.000918
27	0.000870
28	0.000885
29	0.000933
30	0.000916
31	0.000933
32	0.000956
33	0.000911
34	0.000887
35	0.000903
36	0.000869
37	0.000840
38	0.000815
39	0.000801
40	0.000775
41	0.000741
42	0.000710
43	0.000664
44	0.003563
45	0.000663
46	0.006105
47	0.000254
48	0.025600
49	0.000000
50	5.408714
