Tag Length (Average tag length = 493.057212)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000333
3	0.000529
4	0.001132
5	0.001233
6	0.001187
7	0.001133
8	0.001149
9	0.001200
10	0.001265
11	0.001389
12	0.001480
13	0.001435
14	0.001482
15	0.001499
16	0.001451
17	0.001487
18	0.001490
19	0.001436
20	0.001450
21	0.001419
22	0.001483
23	0.001570
24	0.001533
25	0.001517
26	0.001485
27	0.001559
28	0.001495
29	0.001464
30	0.001428
31	0.001510
32	0.001473
33	0.001446
34	0.001532
35	0.001456
36	0.001455
37	0.001432
38	0.001326
39	0.001297
40	0.001265
41	0.001246
42	0.001138
43	0.001109
44	0.005936
45	0.001056
46	0.010431
47	0.000430
48	0.041984
49	0.000000
50	9.778335
