Tag Length (Average tag length = 375.036465)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000287
3	0.000493
4	0.000925
5	0.001006
6	0.000935
7	0.000928
8	0.000975
9	0.001029
10	0.001043
11	0.001142
12	0.001209
13	0.001273
14	0.001241
15	0.001194
16	0.001244
17	0.001241
18	0.001274
19	0.001208
20	0.001231
21	0.001208
22	0.001328
23	0.001297
24	0.001338
25	0.001237
26	0.001228
27	0.001245
28	0.001230
29	0.001284
30	0.001240
31	0.001296
32	0.001194
33	0.001200
34	0.001251
35	0.001217
36	0.001193
37	0.001195
38	0.001094
39	0.001123
40	0.001048
41	0.001059
42	0.000996
43	0.000923
44	0.004742
45	0.000941
46	0.008459
47	0.000350
48	0.035594
49	0.000000
50	7.431324
