Tag Length (Average tag length = 700.294746)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000487
3	0.000752
4	0.001488
5	0.001777
6	0.001593
7	0.001517
8	0.001660
9	0.001670
10	0.001734
11	0.001928
12	0.001985
13	0.001979
14	0.001942
15	0.002013
16	0.001901
17	0.001953
18	0.002101
19	0.001998
20	0.002103
21	0.001971
22	0.002008
23	0.002045
24	0.002178
25	0.002054
26	0.001985
27	0.002139
28	0.002082
29	0.002077
30	0.002067
31	0.002058
32	0.001994
33	0.001961
34	0.001889
35	0.002085
36	0.001932
37	0.001892
38	0.001809
39	0.001831
40	0.001707
41	0.001585
42	0.001616
43	0.001488
44	0.008166
45	0.001533
46	0.014260
47	0.000604
48	0.057236
49	0.000000
50	13.892818
