Tag Length (Average tag length = 508.757491)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000359
3	0.000594
4	0.001177
5	0.001367
6	0.001263
7	0.001243
8	0.001293
9	0.001384
10	0.001447
11	0.001529
12	0.001535
13	0.001643
14	0.001630
15	0.001586
16	0.001607
17	0.001650
18	0.001720
19	0.001636
20	0.001658
21	0.001561
22	0.001774
23	0.001751
24	0.001731
25	0.001763
26	0.001755
27	0.001698
28	0.001663
29	0.001785
30	0.001671
31	0.001710
32	0.001754
33	0.001656
34	0.001733
35	0.001742
36	0.001573
37	0.001565
38	0.001555
39	0.001562
40	0.001457
41	0.001449
42	0.001367
43	0.001262
44	0.006482
45	0.001355
46	0.011457
47	0.000501
48	0.047533
49	0.000000
50	10.081483
