Tag Length (Average tag length = 695.938497)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000517
3	0.000872
4	0.001652
5	0.001913
6	0.001864
7	0.001660
8	0.001763
9	0.001830
10	0.001909
11	0.002129
12	0.002140
13	0.002259
14	0.002262
15	0.002202
16	0.002192
17	0.002265
18	0.002211
19	0.002228
20	0.002165
21	0.002177
22	0.002261
23	0.002399
24	0.002370
25	0.002264
26	0.002269
27	0.002316
28	0.002227
29	0.002241
30	0.002196
31	0.002258
32	0.002177
33	0.002219
34	0.002125
35	0.002191
36	0.002137
37	0.002128
38	0.002046
39	0.002063
40	0.001928
41	0.001814
42	0.001724
43	0.001622
44	0.008854
45	0.001668
46	0.015459
47	0.000690
48	0.063987
49	0.000000
50	13.793526
