Tag Length (Average tag length = 385.362247)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000251
3	0.000475
4	0.000888
5	0.001036
6	0.000937
7	0.000958
8	0.001009
9	0.001047
10	0.001131
11	0.001098
12	0.001179
13	0.001244
14	0.001234
15	0.001240
16	0.001226
17	0.001280
18	0.001337
19	0.001295
20	0.001238
21	0.001234
22	0.001337
23	0.001337
24	0.001363
25	0.001316
26	0.001325
27	0.001332
28	0.001242
29	0.001296
30	0.001349
31	0.001294
32	0.001297
33	0.001293
34	0.001333
35	0.001280
36	0.001238
37	0.001185
38	0.001187
39	0.001127
40	0.001088
41	0.001066
42	0.001035
43	0.001019
44	0.004980
45	0.000975
46	0.008849
47	0.000371
48	0.037381
49	0.000000
50	7.634685
