Tag Length (Average tag length = 586.141686)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000428
3	0.000671
4	0.001342
5	0.001579
6	0.001417
7	0.001421
8	0.001440
9	0.001441
10	0.001572
11	0.001658
12	0.001779
13	0.001832
14	0.001780
15	0.001756
16	0.001756
17	0.001788
18	0.001840
19	0.001786
20	0.001733
21	0.001735
22	0.001776
23	0.001883
24	0.001941
25	0.001885
26	0.001800
27	0.001848
28	0.001762
29	0.001778
30	0.001774
31	0.001815
32	0.001794
33	0.001775
34	0.001720
35	0.001756
36	0.001660
37	0.001692
38	0.001622
39	0.001607
40	0.001593
41	0.001462
42	0.001354
43	0.001348
44	0.007138
45	0.001350
46	0.012412
47	0.000558
48	0.051002
49	0.000000
50	11.622626
