Tag Length (Average tag length = 532.746323)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000422
3	0.000652
4	0.001308
5	0.001457
6	0.001361
7	0.001334
8	0.001398
9	0.001417
10	0.001485
11	0.001580
12	0.001680
13	0.001750
14	0.001743
15	0.001723
16	0.001697
17	0.001717
18	0.001711
19	0.001672
20	0.001669
21	0.001729
22	0.001754
23	0.001779
24	0.001821
25	0.001796
26	0.001774
27	0.001795
28	0.001730
29	0.001760
30	0.001778
31	0.001795
32	0.001710
33	0.001711
34	0.001680
35	0.001717
36	0.001667
37	0.001653
38	0.001582
39	0.001537
40	0.001478
41	0.001444
42	0.001355
43	0.001315
44	0.006804
45	0.001272
46	0.011998
47	0.000531
48	0.050181
49	0.000000
50	10.557217
