Tag Length (Average tag length = 375.714388)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000299
3	0.000439
4	0.000874
5	0.001031
6	0.000874
7	0.000918
8	0.000890
9	0.000930
10	0.001056
11	0.001138
12	0.001188
13	0.001253
14	0.001216
15	0.001166
16	0.001189
17	0.001190
18	0.001210
19	0.001160
20	0.001178
21	0.001215
22	0.001237
23	0.001300
24	0.001227
25	0.001273
26	0.001276
27	0.001227
28	0.001198
29	0.001235
30	0.001203
31	0.001211
32	0.001239
33	0.001231
34	0.001241
35	0.001232
36	0.001120
37	0.001125
38	0.001099
39	0.001104
40	0.001092
41	0.001010
42	0.000940
43	0.000951
44	0.004723
45	0.000889
46	0.008218
47	0.000367
48	0.034595
49	0.000000
50	7.446544
