Tag Length (Average tag length = 539.614903)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000398
3	0.000660
4	0.001296
5	0.001456
6	0.001328
7	0.001312
8	0.001308
9	0.001435
10	0.001516
11	0.001663
12	0.001733
13	0.001730
14	0.001789
15	0.001699
16	0.001738
17	0.001786
18	0.001810
19	0.001743
20	0.001717
21	0.001769
22	0.001751
23	0.001839
24	0.001858
25	0.001813
26	0.001825
27	0.001800
28	0.001806
29	0.001755
30	0.001806
31	0.001805
32	0.001761
33	0.001762
34	0.001709
35	0.001772
36	0.001596
37	0.001649
38	0.001595
39	0.001598
40	0.001488
41	0.001444
42	0.001375
43	0.001294
44	0.006893
45	0.001307
46	0.012075
47	0.000508
48	0.050269
49	0.000000
50	10.693913
