Tag Length (Average tag length = 420.659049)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000308
3	0.000472
4	0.001017
5	0.001168
6	0.001022
7	0.001066
8	0.001053
9	0.001119
10	0.001158
11	0.001251
12	0.001305
13	0.001328
14	0.001261
15	0.001383
16	0.001320
17	0.001319
18	0.001345
19	0.001301
20	0.001316
21	0.001294
22	0.001330
23	0.001389
24	0.001365
25	0.001360
26	0.001330
27	0.001378
28	0.001384
29	0.001347
30	0.001287
31	0.001329
32	0.001359
33	0.001296
34	0.001350
35	0.001310
36	0.001243
37	0.001213
38	0.001199
39	0.001159
40	0.001137
41	0.001037
42	0.001019
43	0.001005
44	0.005276
45	0.000999
46	0.009329
47	0.000402
48	0.037890
49	0.000000
50	8.338775
